,,Inputs,,,Outputs,,,
Brand,Type,Fac1,Fac2,GRP,Tom,SOV,Spontan,
L,Training,0.362,0.286,1007.44,0.080,0.0560,0.066,
L,Training,0.696,0.308,27.95,0.096,0.0023,0.046,
M,Training,0.324,1.637,254.68,0.010,0.0125,0.007,
M,Training,0.588,1.716,11.56,0.010,0.0005,0.011,
M,Training,1.192,0.961,11.68,0.020,0.0005,0.003,
M,Training,0.312,1.435,461.10,0.030,0.0213,0.009,
M,Training,0.955,1.584,26.65,0.030,0.0017,0.034,
M,Training,1.511,2.806,836.58,0.050,0.0380,0.022,
M,Training,1.215,2.669,388.04,0.050,0.0244,0.004,
M,Training,0.951,1.990,139.04,0.020,0.0161,0.004,
M,Training,0.462,1.948,54.61,0.010,0.0033,0.009,
M,Testing,0.742,1.116,14.08,0.010,0.0007,0.010,
M,Training,-0.119,2.088,192.81,0.000,0.0116,0.028,
M,Testing,0.130,2.639,572.20,0.020,0.0258,0.019,
M,Training,0.311,1.900,31.62,0.007,0.0019,0.016,
M,Training,1.549,0.020,790.59,0.027,0.0348,0.012,
M,Training,0.289,1.259,68.39,0.030,0.0028,0.033,
M,Training,0.215,0.244,218.48,0.010,0.0127,0.013,
M,Testing,-0.349,1.157,239.14,0.000,0.0177,0.029,
M,Training,0.578,0.944,591.86,0.020,0.0456,0.048,
M,Training,-0.287,0.410,22.96,0.030,0.0017,0.020,
M,Training,0.256,0.803,21.29,0.020,0.0014,0.006,
M,Training,0.636,1.164,17.77,0.024,0.0014,0.035,
O,Testing,-0.772,-0.716,1892.92,0.010,0.0927,0.061,
O,Testing,-0.862,-0.202,2507.24,0.030,0.1017,0.047,
O,Testing,-0.781,-0.745,1009.39,0.020,0.0433,0.010,
O,Training,-0.735,-0.338,2199.08,0.000,0.1014,0.058,
O,Training,-0.848,-0.164,1742.94,0.040,0.1113,0.029,
O,Testing,-1.098,-0.078,2303.25,0.020,0.1045,0.031,
O,Training,-0.805,-0.749,3572.28,0.040,0.2249,0.029,
O,Testing,-0.563,-0.902,2298.51,0.050,0.2668,0.038,
O,Training,-0.672,-0.599,1154.34,0.020,0.0707,0.048,
O,Testing,-0.038,-0.411,1610.95,0.030,0.0748,0.036,
O,Testing,-1.148,-0.394,2520.80,0.030,0.1512,0.020,
O,Training,-1.038,-0.512,405.53,0.030,0.0183,0.042,
O,Testing,-0.008,0.361,263.62,0.047,0.0162,0.031,
O,Training,-1.264,-0.872,2355.05,0.033,0.1037,0.022,
O,Training,-0.332,0.013,765.43,0.010,0.0310,0.056,
O,Training,-0.505,-0.538,1910.35,0.100,0.1109,0.029,
O,Testing,-0.177,-0.095,1622.51,0.050,0.1203,0.034,
O,Training,-0.180,-0.191,997.30,0.040,0.0768,0.044,
O,Testing,-0.137,-0.237,2450.70,0.010,0.1828,0.071,
O,Training,-0.037,-0.456,2638.56,0.030,0.1790,0.063,
O,Testing,-0.566,-0.582,1181.96,0.024,0.0954,0.009,
